鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
松山區,房地(土地+建物),臺北市松山區民生東路五段151~200號,7.87,,,,10109,土地1建物2車位0,四層,16,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720915,91.27,3,2,2,有,有,18700000,204889,,0,0,306931,2772488
信義區,房地(土地+建物),臺北市信義區福德街268巷5弄1~50號,36.56,住,,,10108,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.24,3,2,2,有,無,11580000,132737,,0,0,309051,2770251
信義區,房地(土地+建物),臺北市信義區福德街268巷4弄1~50號,21.4,住,,,10105,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.34,3,2,1,有,無,11800000,156623,,0,0,309176,2770296
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~50號,66.86,住,,,10109,土地2建物1車位5,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1010625,600.08,5,2,4,有,有,120000000,199974,坡道平面,0,13400000,303466,2771394
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~50號,57.42,住,,,10109,土地2建物1車位4,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1010625,506.56,5,2,4,有,有,105410000,208090,坡道平面,0,10000000,303464,2771395
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~50號,66.86,住,,,10109,土地2建物1車位5,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1010625,594.72,5,2,4,有,有,117090000,196883,坡道平面,0,14900000,303452,2771408
中山區,房地(土地+建物),臺北市中山區中原街1~50號,5.39,住,,,10108,土地1建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,660625,27.08,1,1,1,有,無,4300000,158789,,0,0,303324,2772165
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路513巷22弄1~50號,63.9,其他,,,10109,土地1建物1車位2,八層,8,辦公商業大樓,工業用,鋼筋混凝土造,871111,361.82,0,0,0,無,有,52680000,145597,坡道平面,0,0,307406,2774760
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段191巷62弄1~50號,43.56,住,,,10109,土地1建物1車位2,一層,5,其他,見其他登記事項,鋼筋混凝土造,991103,264.63,3,2,2,有,有,30100000,120201,坡道平面,63.3,5900000,310250,2773611
中山區,房地(土地+建物),臺北市中山區中山北路一段83巷1~50號,5.18,商,,,10108,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,670116,38.6,0,1,1,有,有,4000000,103627,,0,0,302758,2771479
